unique_id,title,author_keywords,abstract,keywords_plus,doi,"require_full_text(1,0)","screening (include, exclude, uncertain)",screener_id,note
2353,"reproducibility, open science and progression in soil erosion research. a reply to ``response to `national-scale geodata describe widespread accelerated soil erosion' benaud et al. (2020) geoderma 271, 114378'' by evans and boardman (2021)",,,fine sediment; water erosion; britain; photogrammetry; quality; england;; runoff,10.1016/j.geoderma.2021.115181,0,include,13,
2244,open science as a better gatekeeper for science and society: a perspective from neurolaw,,,,10.1016/j.scib.2018.11.015,0,include ,13,
1793,abstracting and indexing as an enabling interface between open science and grey literature - the approach of the aquatic sciences and fisheries abstracts service,,"we examine the role of one abstracting and indexing (a\&i) service (aquatic sciences and fisheries abstracts - asfa) as an interface between open science and grey literature. as an a\&i service known for its coverage of grey literature, asfa is evolving its technologies and partnerships to capitalize on the opportunities presented by open science. a grey literature strategy was implemented to ensure asfa made the necessary changes to its monitoring, recording and reporting of grey literature coverage on its database. we describe how the strategy incorporates the open science movement into asfa, by making use of the opportunities such as the increased number of repositories and literature; and vice-versa by providing increased access to grey literature and working with institutions to ensure their literature is captured on asfa. specifically we describe how asfa is: (1) increasing access to grey literature by working in partnership with oa repositories (including harvesting from oaipmh compliant repositories); (2) using open source software to manage its indexing and search tools, allowing them to be utilized by, and receive contributions from, a greater number of users to aid the discoverability of grey literature; (3) ensuring comprehensive and timely coverage of grey literature among its global partnership, and providing funding for small specific projects which meet asfa's grey literature priorities regards subject scope and content type; (4) working with the open science community in a virtual research environment (vre) - such as imarine - to ensure a two way interaction between the open science movement and the promotion of grey literature in the future. we demonstrate that by taking the above steps to capitalize on the opportunities presented by open science and new technologies, an a\&i service such as asfa becomes a valued interface between open science and grey literature - ensuring the recording and discovery of grey literature from aquatic sciences and fisheries institutions around the world.",,,0,include ,13,
680,"saccadic reaction times in infants and adults: spatiotemporal factors, gender, and interlaboratory variation",saccadic reaction time; latency; infants; replication; open science,"saccade latency is widely used across infant psychology to investigate infants' understanding of events. interpreting particular latency values requires knowledge of standard saccadic rts, but there is no consensus as to typical values. this study provides standard estimates of infants' (n = 194, ages 9 to 15 months) saccadic rts under a range of different spatiotemporal conditions. to investigate the reliability of such standard estimates, data is collected at 4 laboratories in 3 countries. results indicate that reactions to the appearance of a new object are much faster than reactions to the deflection of a currently fixated moving object; upward saccades are slower than downward or horizontal saccades; reactions to more peripheral stimuli are much slower; and this slowdown is greater for boys than girls. there was little decrease in saccadic rts between 9 and 15 months, indicating that the period of slow development which is protracted into adolescence begins in late infancy. except for appearance and deflection differences, infant effects were weak or absent in adults (n = 40). latency estimates and spatiotemporal effects on latency were generally consistent across laboratories, but a number of lab differences in factors such as individual variation were found. some but not all differences were attributed to minor procedural differences, highlighting the importance of replication. confidence intervals (95\%) for infants' median reaction latencies for appearance stimuli were 242 to 250 ms and for deflection stimuli 350 to 367 ms.",peripheral visual-field; individual-differences; sex-differences;; eye-movements; tracking; expectation; attention; faces; life; stability,10.1037/dev0000338,0,exclude,5,
1630,"the national covid cohort collaborative (n3c): rationale, design, infrastructure, and deployment",covid-19; open science; clinical data model harmonization; ehr data;; collaborative analytics; sars-cov-2,"objective: coronavirus disease 2019 (covid-19) poses societal challenges that require expeditious data and knowledge sharing. though organizational clinical data are abundant, these are largely inaccessible to outside researchers. statistical, machine learning, and causal analyses are most successful with large-scale data beyond what is available in any given organization. here, we introduce the national covid cohort collaborative (n3c), an open science community focused on analyzing patient-level data from many centers. materials and methods: the clinical and translational science award program and scientific community created n3c to overcome technical, regulatory, policy, and governance barriers to sharing and harmonizing individual-level clinical data. we developed solutions to extract, aggregate, and harmonize data across organizations and data models, and created a secure data enclave to enable efficient, transparent, and reproducible collaborative analytics. results: organized in inclusive workstreams, we created legal agreements and governance for organizations and researchers; data extraction scripts to identify and ingest positive, negative, and possible covid-19 cases; a data quality assurance and harmonization pipeline to create a single harmonized dataset; population of the secure data enclave with data, machine learning, and statistical analytics tools; dissemination mechanisms; and a synthetic data pilot to democratize data access. conclusions: the n3c has demonstrated that a multisite collaborative learning health network can overcome barriers to rapidly build a scalable infrastructure incorporating multiorganizational clinical data for covid-19 analytics. we expect this effort to save lives by enabling rapid collaboration among clinicians, researchers, and data scientists to identify treatments and specialized care and thereby reduce the immediate and long-term impacts of covid-19.",electronic health records; data quality; future; classification;; completeness; algorithm; privacy; models,10.1093/jamia/ocaa196,0,exclude,13,
2354,management and provision of research data in psychology: revision of the recommendations by the german society for psychology committee of german society for psychology ``open science'' (decided by the board of german society for psychology on 26th june 2020),,,transparency; dgps,10.1026/0033-3042/a000514,0,include ,13,
1808,"discovering empirically-based best practices in computing education through replication, reproducibility, and meta-analysis studies",replication; reproducibility; meta-analysis; data synthesis; open; science; datasets; primary education; secondary education; transparency;; k-12; post-secondary; research,"though some empirically-driven best practices in computing education exist, there are legitimate and serious concerns about the dearth of studies that have been replicated and/or reproduced in the sciences, including education science and computing education. without the empirical evidence that comes from replicated, reproduced or meta-analytic studies to provide further verification that a particular practice is effective, the computing education research community may be unintentionally propagating poor practices driven by false findings derived from individual studies. propagation of these practices can lead to distrust by practitioners, eroding the relationship between often well-intentioned researchers who want to help inform and shape the practice and those in the classrooms teaching, policymakers, and administrators. therefore, it is incumbent on us as a community to seriously consider the state of our research practice, the challenges the community faces due to the lack of empirical evidence coming from our published studies, and how the community can have a broader discussion to evolve the field into a stronger practice. this short paper contains some foundational terminology and provides evidence of the lack of replication, reproducibility, and meta-analytic studies in general and in computing education. a summary of potential solutions is also proposed that can be explored in an effort to help frame a larger discussion of this issue with the goal of considering next steps needed to mature our field.",,10.1145/3364510.3364528,0,include,13,
344,data quality and curation as a prerequisite for open research data,data documentation; data; open data; open research data; open access;; data management; data quality; usability; acceptance,"the importance of data for society and the economy cannot be overestimated and is increasing in the course of digitization. the re-use of existing data offers considerable advantages on a scientific, political, social, cultural and especially economic level. the opening of data collections (open data) is attracting increased interest in both the public and private sectors. this can be traced back to efforts to increase transparency in the public sector and to enthusiasm for big data and data analysis. in recent years, more and more ministries and governments have therefore started to publish their data. these so-called open government or open research movements have led to the introduction of numerous portals that provide an infrastructure for access to research data. the development of this infrastructure is changing the way in which researchers search for data describing their research subject or for analyzable research data. implicitly, the main aim is to achieve more data exchange and transparency in order to promote the opening of further data silos for broad user groups. quality issues played too little role in the initial phase. this article aims to draw attention to how data quality criteria can optimize infrastructures for both the source data and the metadata.",universities,10.1515/iwp-2021-2158,0,include,5,
195,balancing open science and data privacy in the water sciences,open science; data management; ethics; socio-hydrology; human subject; research; anthropocene,"open science practices such as publishing data and code are transforming water science by enabling synthesis and enhancing reproducibility. however, as research increasingly bridges the physical and social science domains (e.g., socio-hydrology), there is the potential for well-meaning researchers to unintentionally violate the privacy and security of individuals or communities by sharing sensitive information. here we identify the contexts in which privacy violations are most likely to occur, such as working with high-resolution spatial data (e.g., from remote sensing), consumer data (e.g., from smart meters), and/or digital trace data (e.g., from social media). we also suggest practices for identifying and addressing privacy concerns at the individual, institutional, and disciplinary levels. we strongly advocate that the water science community continue moving toward open science and socio-environmental research and that progress toward these goals be rooted in open and ethical data management.",social media; conservation; demand; epidemiology; consumption;; management; hydrology; framework; benefits; drivers,10.1029/2019wr025080,0,include,13,
1885,"photo images, 3d/ct data and mtdna of the freshwater mussels (bivalvia: unionidae) in the kyushu and ryukyu islands, japan, with sem/eds analysis of the shell",3d model; anatomy; ct scan; digital archiving; elemental composition;; energy dispersive x-ray spectrometry (eds); freshwater mussels; morphology; open science; scanning electron microscope (sem); shell; exoskeleton,"background freshwater mussels (bivalvia: unionidae), which are keystone species of freshwater ecosystems, are in global decline. in addition to ecological/genetic studies, morphological examinations are needed to help provide information for the development of additional freshwater mussel studies and eventually conservation efforts for freshwater ecosystems. the microscopic structure, which can be obtained by scanning electron microscopy (sem) and elemental composition, which can be obtained with energy dispersive x-ray spectrometry (eds), of mollusc shells are of interest to malacologists. however, information about freshwater mussels is still limited. kyushu island is the southernmost island of the four major islands of japan. kyushu island is a hotspot of bitterling fishes in japan, which simultaneously means that the island is a hotspot of freshwater mussels. the ryukyu islands stretch southwest from kyushu island to taiwan; a freshwater mussel of unknown origin was reported from the ryukyu islands. digital archiving for biology and ecology is a continuing challenge for open science. this data paper describes online published photo images, 3d/ct and mtdna data and sem/eds analyses of the shell of freshwater mussels that inhabit the kyushu and ryukyu islands, japan. our data will provide basic information regarding freshwater biology and be of public interest as open science.",shape; fishes,10.3897/bdj.7.e32114,0,exclude,13,
876,samples and data accessibility in research biobanks: an explorative survey,open science; data sharing; research ethics; human subjects;; biorepository,"biobanks, which contain human biological samples and/or data, provide a crucial contribution to the progress of biomedical research. however, the effective and efficient use of biobank resources depends on their accessibility. in fact, making bio-resources promptly accessible to everybody may increase the benefits for society. furthermore, optimizing their use and ensuring their quality will promote scientific creativity and, in general, contribute to the progress of bio-medical research. although this has become a rather common belief, several laboratories are still secretive and continue to withhold samples and data. in this study, we conducted a questionnaire-based survey in order to investigate sample and data accessibility in research biobanks operating all over the world. the survey involved a total of 46 biobanks. most of them gave permission to access their samples (95.7\%) and data (85.4\%), but free and unconditioned accessibility seemed not to be common practice. the analysis of the guidelines regarding the accessibility to resources of the biobanks that responded to the survey highlights three issues: (i) the request for applicants to explain what they would like to do with the resources requested; (ii) the role of funding, public or private, in the establishment of fruitful collaborations between biobanks and research labs; (iii) the request of co-authorship in order to give access to their data. these results suggest that economic and academic aspects are involved in determining the extent of sample and data sharing stored in biobanks. as a second step of this study, we investigated the reasons behind the high diversity of requirements to access biobank resources. the analysis of informative answers suggested that the different modalities of resource accessibility seem to be largely influenced by both social context and legislation of the countries where the biobanks operate.",genomic research; life sciences; perspectives; participants;; disciplines; protection; community; countries; genetics; benefits,10.7717/peerj.1613,0,exclude,13,
2225,"open science, open access and latin america: a short conversation with jon tennant",,,,10.1108/dlp-05-2020-051,0,include,13,
554,the quandary between communication and certification individual academics' views on open access and open scholarship,attitudes; altmetrics; scholarship; open access; peer review; academic; publishing,"purpose - the purpose of this paper is to understand individual academics' perception, attitudes and participation in open access publishing and open scholarship and revisit some principles and designs of openness in academic publishing from the perspective of creative end-users, which helps to increase the sustainability and efficiency of open models. design/methodology/approach - this paper draws on a case study of china and empirical data collected through semi-structured interviews with a wide range of academics and stakeholders. findings - a separation between the communication and certification functions of publishing is identified: open initiatives are valued for efficient and interactive communication while traditional publishing still dominates the legitimacy of research publications, which leads to the quandary of individual academics operating within the transitional landscape of scholarly communication. practical implications - practical recommendations for sustainable and efficient openness are derived from discussions on the difficulties associated open/social certification and the shifting maxims that govern academics from ``publish or perish'' to ``be visible or vanish''. originality/value - ``openness'' is defined in broad sense integrating open access and open scholarship to comprehensively reflect individual academics' views in the transitional landscape of academic publishing. the research findings suggest that new open approaches are needed to address the evolving tension and conflicts between communication and certification.",web 2.0; quality; impact,10.1108/oir-04-2015-0129,0,include,13,
2132,"in pursuit of open science, open access is not enough",,,,10.1126/science.aba3763,0,include,13,
1547,"goals, values, and expectations of the ais family of journals",ais journals; journal mission; journal review processes; journal values;; replication; open science; publication ethics,"the association for information systems (ais) is the premier professional association for individuals and organizations that lead the research, teaching, practice, and study of information systems. it serves society through advancing knowledge and promoting excellence in the practice and study of information systems. to that end, the ais hosts seven academic journals: journal of the association for information systems (jais), communications of the association for information systems (cais), ais transactions on human-computer interactions (thci), ais transactions on replication research (trr), pacific asia journal of the association for information systems (pajais), revista latinoamericana y del caribe de la asociacion de sistemas de informacion (relcasi), and scandinavian journal of information systems (sjis). in this editorial statement, we summarize the different mission statements for each journal; describe their different audiences, goals, and markets; and identify their shared values, requirements, and resources. we do so to assist ais members to identify the most suitable journal outlet for their research.",,10.17705/1cais.04116,0,include,13,
1326,leveraging open science drug development for pet: preliminary neuroimaging of c-11-labeled alk2 inhibitors,carbon-11; positron emission tomography; alk2; dipg; blood-brain barrier,"mutations in the gene encoding activin receptor-like kinase 2 (alk2) are implicated in the pathophysiology of a pediatric brainstem cancer, diffuse intrinsic pontine glioma (dipg). inhibitors of alk2 that cross the blood-brain barrier have been proposed as a method of treatment for dipg. as part of an open science approach to radiopharmaceutical and drug discovery, we developed c-11-labeled radiotracers from potent and selective lead alk2 inhibitors to investigate their brain permeability through positron emission tomography (pet) neuroimaging. four radiotracers were synthesized by c-11-methylation and assessed by dynamic pet imaging in healthy sprague-dawley rats. one of the compounds, [c-11]m4k2127, showed high initial brain uptake (suv similar to 2), including in the region of interest (pons). this data supports the use of this chemotype as a brain penetrant alk2 inhibitor that permeates evenly into the pons with potential application for the treatment of dipg.",acvr1 mutations; brain,10.1021/acsmedchemlett.1c00127,0,exclude,13,
706,can open science save us from a solar-driven monsoon?,monsoon; solar variability; cosmic ray flux; statistics,"numerous studies have been published claiming strong solar influences on the earth's weather and climate, many of which include documented errors and false-positives, yet are still frequently used to substantiate arguments of global warming denial. recently, badruddin \& aslam (2015) reported a highly significant relationship between the indian monsoon and the cosmic ray flux. they found strong and opposing linear trends in the cosmic ray flux during composites of the strongest and weakest monsoons since 1964, and concluded that this relationship is causal. they further speculated that it could apply across the entire tropical and sub-tropical belt and be of global importance. however, examining the original data reveals the cause of this false-positive: an assumption that the data's underlying distribution was gaussian. instead, due to the manner in which the composite samples were constructed, the correlations were biased towards high values. incorrect or problematic statistical analyses such as this are typical in the field of solar-terrestrial studies, and consequently false-positives are frequently published. however, the widespread adoption of open science approaches, placing an emphasis on reproducible open-source analyses as demonstrated in this work, could remedy the situation.",galactic cosmic-rays; sulfuric-acid; nucleation; rainfall; climate;; variability; irradiance; weather,10.1051/swsc/2016005,0,include,13,
712,studierfenster: an open science cloud-based medical imaging analysis platform,medical image analysis; cloud; client/server; python; itk; vtk; deep; learning; cnn; gan; virtual reality; augmented reality; whitepaper,"imaging modalities such as computed tomography (ct) and magnetic resonance imaging (mri) are widely used in diagnostics, clinical studies, and treatment planning. automatic algorithms for image analysis have thus become an invaluable tool in medicine. examples of this are two- and three-dimensional visualizations, image segmentation, and the registration of all anatomical structure and pathology types. in this context, we introduce studierfenster (www.studierfenster.at): a free, non-commercial open science client-server framework for (bio-)medical image analysis. studierfenster offers a wide range of capabilities, including the visualization of medical data (ct, mri, etc.) in two-dimensional (2d) and three-dimensional (3d) space in common web browsers, such as google chrome, mozilla firefox, safari, or microsoft edge. other functionalities are the calculation of medical metrics (dice score and hausdorff distance), manual slice-by-slice outlining of structures in medical images, manual placing of (anatomical) landmarks in medical imaging data, visualization of medical data in virtual reality (vr), and a facial reconstruction and registration of medical data for augmented reality (ar). more sophisticated features include the automatic cranial implant design with a convolutional neural network (cnn), the inpainting of aortic dissections with a generative adversarial network, and a cnn for automatic aortic landmark detection in ct angiography images. a user study with medical and non-medical experts in medical image analysis was performed, to evaluate the usability and the manual functionalities of studierfenster. when participants were asked about their overall impression of studierfenster in an iso standard (iso-norm) questionnaire, a mean of 6.3 out of 7.0 possible points were achieved. the evaluation also provided insights into the results achievable with studierfenster in practice, by comparing these with two ground truth segmentations performed by a physician of the medical university of graz in austria. in this contribution, we presented an online environment for (bio-)medical image analysis. in doing so, we established a client-server-based architecture, which is able to process medical data, especially 3d volumes. our online environment is not limited to medical applications for humans. rather, its underlying concept could be interesting for researchers from other fields, in applying the already existing functionalities or future additional implementations of further image processing applications. an example could be the processing of medical acquisitions like ct or mri from animals [clinical pharmacology \& therapeutics, 84(4):448-456, 68], which get more and more common, as veterinary clinics and centers get more and more equipped with such imaging devices. furthermore, applications in entirely non-medical research in which images/volumes need to be processed are also thinkable, such as those in optical measuring techniques, astronomy, or archaeology.",segmentation; software; therapy; system; vtk,10.1007/s10278-021-00574-8,0,exclude,7,
1452,semi-automated anatomical labeling and inter-subject warping of high-density intracranial recording electrodes in electrocorticography,intracranial recordings; electrode localization; electrocorticography;; epilepsy; surgery; image coregistration; subdural electrodes; open; science,"in this article, we introduce img\_pipe, our open source python package for preprocessing of imaging data for use in intracranial electrocorticography (ecog) and intracranial stereo-eeg analyses. the process of electrode localization, labeling, and warping for use in ecog currently varies widely across laboratories, and it is usually performed with custom, lab-specific code. this python package aims to provide a standardized interface for these procedures, as well as code to plot and display results on 3d cortical surface meshes. it gives the user an easy interface to create anatomically labeled electrodes that can also be warped to an atlas brain, starting with only a preoperative t1 mri scan and a postoperative ct scan. we describe the full capabilities of our imaging pipeline and present a step-by-step protocol for users.",human cerebral-cortex; localization; speech,10.3389/fninf.2017.00062,0,exclude,7,
672,the preregistration revolution,methodology; open science; confirmatory analysis; exploratory analysis;; preregistration,"progress in science relies in part on generating hypotheses with existing observations and testing hypotheses with new observations. this distinction between postdiction and prediction is appreciated conceptually but is not respected in practice. mistaking generation of postdictions with testing of predictions reduces the credibility of research findings. however, ordinary biases in human reasoning, such as hindsight bias, make it hard to avoid this mistake. an effective solution is to define the research questions and analysis plan before observing the research outcomes-a process called preregistration. preregistration distinguishes analyses and outcomes that result from predictions from those that result from postdictions. a variety of practical strategies are available to make the best possible use of preregistration in circumstances that fall short of the ideal application, such as when the data are preexisting. services are now available for preregistration across all disciplines, facilitating a rapid increase in the practice. widespread adoption of preregistration will increase distinctiveness between hypothesis generation and hypothesis testing and will improve the credibility of research findings.",registered reports; file drawer; science; false; psychology; inference;; truth; bias; transparency; registration,10.1073/pnas.1708274114,0,include,7,
1274,"graph interpretation, summarization and visualization techniques: a review and open research issues",graph interpretation; graph-based learning methods; graph mining; graph; summarization; graph visualization,"graphs has been a ubiquitous way of representing heterogeneous data. there are many studies focused on graph learning highlighting the approaches for graph data extraction, interpretation and graph summarization. graph data summarization is achieving more expansion due to the broader length of sizeable applications and interpretation of proper understanding about the hidden details of the data using deep learning-based graph representation. graph interpretation and summarization have come up as an interdisciplinary room that has vividly broader influence over multiple parallel areas and real-world applications. in other words, extraction of relevant data from massive and complex graph structure, enables the data to be used by many application area. however, it is found that recognizing the discriminatory and hidden properties from massive heterogeneous data is not easy in case of both nodal graph and graph image (also known as chart image). hence, deep learning based approaches eventuated as a satisfactory solution. this paper presents an outline of the quantitative and statistical approaches used for learning and understanding different integrant of nodal graph and information graph, such as data extraction and processing, interpretation, summarization and visualization, by using graph-based learning methods. these integrant are broadly considered under (or as) siv model in this paper. paper also discusses the influence of summarization techniques on the visualization of large data graphs and upcoming research areas of summarization. lastly, paper provides with brief overview of challenges, application area, benefits of graph interpretation, summarization, and visualization, while providing existing tools and datasets available for graph processing and learning.",information visualization; exploration; extraction; construction;; recognition; framework; system; images; charts; space,10.1007/s11042-021-11582-9,0,exclude,7,
1828,effect of tunnel geometry and antenna parameters on through-the-air communication systems in underground mines: survey and open research areas,through-the-air; underground mine; antenna polarization; digital mine;; angular spread; antenna beam-width; tunnel geometry; multiple-antenna,"in the mining industry, communication systems are important for ensuring personnel safety and optimizing the mining processes underground. the need for through-the-air (tta) in the underground mining industry has been evolved from man-to-man, man-to-machine and machine-to-machine realtime voice, video and data transmission. reliable communication has always been a challenge in the underground environment due to harsh and dynamic conditions. this article surveys the effect of tunnel geometry and antenna parameters on tta communication system performance in underground mines. it provides a comprehensive review of measurement campaigns that have been published to date by systematic organization of literature. the open research areas for future investigation are also discussed. finally, digital system's findings in the university of witwatersrand (wits) mock-mine are presented. (c) 2017 elsevier b.v. all rights reserved.",radio propagation; wave-propagation; coal-mines; channel; environments;; ghz,10.1016/j.phycom.2017.03.002,0,exclude,7,
528,"open data, open knowledge, open science: quali prospettive?",,"in this report, the author focuses on the sitar conference session devoted to good practices for developing open data, open knowledge, and open science in archaeology. a concise account of the most accredited national and international policies and actions to promote the open science movement introduces some comments on future research and publishing perspectives.",,,0,include,7,
