unique_id,title,author_keywords,abstract,keywords_plus,doi
634,how open science influences next developments in grey literature,,"the practice of open science reinforces the intersections of open access, open data, open educational resources (textbooks), open methods, open standards, open transcription, open peer review, to promote how science is based on replication of experimental process and outcomes. traditional publishing streams of books and journals capture just a fraction of the content now contextualized in open science. our definition of open science blends the foster open science taxonomy with contextualizing science as abraham flexner summarized in the great paradox of scientific research. we suggest how scholarly communication today is inclusive of the range of grey literature that supports the sciences. applying the foster paradigm of understanding open science to the grey literature rubric allows us to explain how scientific publishing has expanded to include new forms of scholarship including theses, patents, standards, models, preprints, systematic reviews, formulas, specimens, instrumentation, spatial information, data sets, lab manuals, interviews, visual miscellany, networks, genomics, proteomics, computational analysis, and other emerging fields. multimedia encompasses some of these examples and new media releases promote changes in product development, thus creating a new sense of authors and communities of users. weaving the taxonomy into the new web of scientific grey literature where there is a greater demand for understanding impact and competitive intelligence by assessing scientific outcomes per scientist, institution, and national scope. we will demonstrate how the process of grant seeking, writing, funding and expectations that are such a large component of scientific research contribute to outputs, innovation and new forms of grey literature. the compliance and regulatory demands at every government level demonstrate how shifts in scholarly communication attempt to create an open and transparent environment where each stage of research is documented and to which all parties are held accountable. open science will continue to generate new knowledge, promote multiple forms of collaboration and release new products in this ecosystem of open science. our findings conclude that innovation to achieve and meet open science goals assume that the scientific record will be open, secure and reflective of how grey literature continues to evolve.",,
1242,collisional o-2 + n-2 state-selected cross sections for open science cloud reuse,,"in this paper, we report a quasi-classical trajectory study of the internal energy state specificity of dissociative o-2 + n-2 collision rates computed at high temperatures on an accurate potential energy surface (pes). this paper analyzes the outcomes of the trajectory calculations performed by explicitly considering the rotational state of the reactants and compares them with those of a previous study carried out by assuming a thermal rotational distribution. in particular, in order to quantify the deviation of the rotationally thermalized rates from the rotationally state-selected ones, we discuss here the properties of the corresponding state-specific and state-to-state cross sections with the support of both internuclear distance and bond-order reduced dimensionality representations of the isoenergetic contours of the pes. this allows us to single out a suitable bond-order-like process coordinate useful for modeling detailed dissociation cross sections and rate coefficients and relating them, as well, to some specific features of the pes. furthermore, this is also shown to be useful for structuring data repositories of the molecular section of the european open science cloud project so as to obtain collaborative production, validation, reuse, and dissemination of chemical processes' knowledge and efficiency parameters.",potential-energy surfaces; state vibrational-relaxation; long-range; interaction; global fit; functional form; cross-sections; dissociation;; n-2-n-2; o-2-o-2; oxygen,10.1021/acs.jpca.0c04937
1293,macrophage migration and phagocytosis are controlled by kindlin-3's link to the cytoskeleton,,"major myeloid cell functions from adhesion to migration and phagocytosis are mediated by integrin adhesion complexes, also known as adhesome. the presence of a direct integrin binding partner kindlin-3 is crucial for these functions, and its lack causes severe immunodeficiency in humans. however, how kindlin-3 is incorporated into the adhesome and how its function is regulated is poorly understood. in this study, using nuclear magnetic resonance spectroscopy, we show that kindlin-3 directly interacts with paxillin (pxn) and leupaxin (lpxn) via g43/l47 within its f0 domain. surprisingly, disruption of kindlin-3-pxn/lpxn interactions in raw 264.7 macrophages promoted cell spreading and polarization, resulting in upregulation of both general cell motility and directed cell migration, which is in a drastic contrast to the consequences of kindlin-3 knockout. moreover, disruption of kindlin-3-pxn/lpxn binding promoted the transition from mesenchymal to amoeboid mode of movement as well as augmented phagocytosis. thus, these novel links between kindlin-3 and key adhesome members pxn/lpxn limit myeloid cell motility and phagocytosis, thereby providing an important immune regulatory mechanism.",leukocyte migration; structural basis; open science; integrin; paxillin;; adhesion; activation; generation; actin; c5a,10.4049/jimmunol.1901134
1998,open science in emergency medicine research,,,,10.1016/j.annemergmed.2020.04.010
1981,why data sharing should be the expected norm,,,clinical-trial data; open science,10.1136/bmj.h599
2354,management and provision of research data in psychology: revision of the recommendations by the german society for psychology committee of german society for psychology ``open science'' (decided by the board of german society for psychology on 26th june 2020),,,transparency; dgps,10.1026/0033-3042/a000514
475,when will `open science' become simply `science'?,,"open science describes the practice of carrying out scientific research in a completely transparent manner, and making the results of that research available to everyone. isn't that just `science'?",,10.1186/s13059-015-0669-2
2152,open research in business and information systems engineering,,,,10.1007/s12599-016-0454-0
796,open science at an institutional level: an interview with guy rouleau,,"the director of the montreal neurological institute (mni), guy rouleau, discusses the recent announcement that the mni will be completely committed to open science.",,10.1186/s13059-017-1152-z
2023,open education and the open science economy,,,,10.1111/j.1744-7984.2009.01169.x
1865,the deal with deal for open access the recent publish-and-read deals have increased momentum for open-access publishing but may not solve the challenge of open science,,"publish and read deals are a step forward for open access, but the devil is in the details as it does not resolve the problem of affordability for all authors.",,10.15252/embr.201949794
2272,ushering in a new era of open science through data sharing the wall must come down,,,,10.1001/jama.2013.1299
1027,what drives and inhibits researchers to share and use open research data? a systematic literature review to analyze factors influencing open research data adoption,,"both sharing and using open research data have the revolutionary potentials for forwarding scientific advancement. although previous research gives insight into researchers' drivers and inhibitors for sharing and using open research data, both these drivers and inhibitors have not yet been integrated via a thematic analysis and a theoretical argument is lacking. this study's purpose is to systematically review the literature on individual researchers' drivers and inhibitors for sharing and using open research data. this study systematically analyzed 32 open data studies (published between 2004 and 2019 inclusively) and elicited drivers plus inhibitors for both open research data sharing and use in eleven categories total that are: `the researcher's background', `requirements and formal obligations', `personal drivers and intrinsic motivations', `facilitating conditions', `trust', `expected performance', `social influence and affiliation', `effort', `the researcher's experience and skills', `legislation and regulation', and `data characteristics.' this study extensively discusses these categories, along with argues how such categories and factors are connected using a thematic analysis. also, this study discusses several opportunities for altogether applying, extending, using, and testing theories in open research data studies. with such discussions, an overview of identified categories and factors can be further applied to examine both researchers' drivers and inhibitors in different research disciplines, such as those with low rates of data sharing and use versus disciplines with high rates of data sharing plus use. what's more, this study serves as a first vital step towards developing effective incentives for both open data sharing and use behavior.",data reuse behaviors; information-technology; acceptance; science;; motivations; roles,10.1371/journal.pone.0239283
2185,"cryptology - scientists puzzle over threat to open research, publication",,,,10.1126/science.197.4311.1345
469,public storage for the open science grid,,"the open science grid infrastructure doesn't provide efficient means to manage public storage offered by participating sites. a virtual organization that relies on opportunistic storage has difficulties finding appropriate storage, verifying its availability, and monitoring its utilization. the involvement of the production manager, site administrators and vo support personnel is required to allocate or rescind storage space. one of the main requirements for public storage implementation is that it should use srm or gridftp protocols to access the storage elements provided by the osg sites and not put any additional burden on sites. by policy, no new services related to public storage can be installed and run on osg sites. opportunistic users also have difficulties in accessing the osg storage elements during the execution of jobs. a typical users' data management workflow includes pre-staging common data on sites before a job's execution, then storing for a subsequent download to a local institution the output data produced by a job on a worker node. when the amount of data is significant, the only means to temporarily store the data is to upload it to one of the storage elements. in order to do that, a user's job should be aware of the storage location, availability, and free space. after a successful data upload, users must somehow keep track of the data's location for future access. in this presentation we propose solutions for storage management and data handling issues in the osg. we are investigating the feasibility of using the integrated rule-oriented data system developed at renci as a front-end service to the osg ses. the current architecture, state of deployment and performance test results will be discussed. we will also provide examples of current usage of the system by beta-users.",,10.1088/1742-6596/513/3/032057
1341,furthering open science in behavior analysis: an introduction and tutorial for using github in research,,"open and transparent practices in scholarly research are increasingly encouraged by academic journals and funding agencies. various elements of behavior analytic research are communicated transparently, though it is not common practice to archive study materials to support future replications. this tutorial presents a review of the transparent and open practices guidelines provided by the open science foundation and provides instructions on how behavior analysts can use github transparency in research across multiple levels. github is presented as a service that can be used to publicly archive various elements of research and is uniquely suited to research that is technical, data driven, and collaborative. the github platform is reviewed, and the steps necessary to create an account, initialize repositories, archive study files, and synchronize changes to remote repositories are described in several examples. implications of increased calls for transparency and modern statistical methods are discussed with regard to behavior analysis, and archiving platforms such as github are reviewed as one means of supporting transparent research.",publication bias; incentives; intervention; truth,10.1007/s40614-019-00202-5
1750,leveraging an open science drug discovery model to develop cns-penetrant alk2 inhibitors for the treatment of diffuse intrinsic pontine glioma,,"there are currently no effective chemotherapeutic drugs approved for the treatment of diffuse intrinsic pontine glioma (dipg), an aggressive pediatric cancer resident in the pons region of the brainstem. radiation therapy is beneficial but not curative, with the condition being uniformly fatal. analysis of the genomic landscape surrounding dipg has revealed that activin receptor-like kinase-2 (alk2) constitutes a potential target for therapeutic intervention given its dysregulation in the disease. we adopted an open science approach to develop a series of potent, selective, orally bioavailable, and brain-penetrant alk2 inhibitors based on the lead compound ldn-214117. modest structural changes to the c-3, c-4, and c-5 position substituents of the core pyridine ring afforded compounds m4k2009, m4k2117, and m4k2163, each with a superior potency, selectivity, and/or blood-brain barrier (bbb) penetration profile. robust in vivo pharmacokinetic (pk) properties and tolerability mark these inhibitors as advanced preclinical compounds suitable for further development and evaluation in orthotopic models of dipg.",i receptor; acvr1 mutations; high-grade; protein; binding;; identification; activation; system; smad1; beta,10.1021/acs.jmedchem.0c01199
2342,hamburg open science - digitization in the planning context for the open-access infrastructure of hamburg science,,,,10.1515/9783110501094-005
463,a hydrologist's guide to open science,,"open, accessible, reusable, and reproducible hydrologic research can have a significant positive impact on the scientific community and broader society. while more individuals and organizations within the hydrology community are embracing open science practices, technical (e.g., limited coding experience), resource (e.g., open access fees), and social (e.g., fear of weaknesses being exposed or ideas being scooped) challenges remain. furthermore, there are a growing number of constantly evolving open science tools, resources, and initiatives that can be overwhelming. these challenges and the ever-evolving nature of the open science landscape may seem insurmountable for hydrologists interested in pursuing open science. therefore, we propose the general ``open hydrology principles'' to guide individual and community progress toward open science for research and education and the ``open hydrology practical guide'' to improve the accessibility of currently available tools and approaches. we aim to inform and empower hydrologists as they transition to open, accessible, reusable, and reproducible research. we discuss the benefits as well as common open science challenges and how hydrologists can overcome them. the open hydrology principles and open hydrology practical guide reflect our knowledge of the current state of open hydrology; we recognize that recommendations and suggestions will evolve and expand with emerging open science infrastructures, workflows, and research experiences. therefore, we encourage hydrologists all over the globe to join in and help advance open science by contributing to the living version of this document and by sharing open hydrology resources in the community-supported repository (https://open-hydrology.github.io, last access: 1 february 2022).",computational hydrology,10.5194/hess-26-647-2022
2255,contribution to the practice of open science: the use of free software in gaceta sanitaria,,,,10.1016/j.gaceta.2019.11.004
395,open science is robust science,,"grand et al. (2018) provide a critical treatment of the need for industrial and organizational (i-o) psychologists to take active steps to ensure that ours is a robust and reliable science of organizations, the spirit of which the present authors wholeheartedly agree. one path toward ensuring that i-o psychology is rightly recognized as a robust science is by embracing the principles of open science. we argue that the move toward open science is beneficial for all six of the defining principles outlined by grand et al. open science increases transparency, facilitates replication, and contributes to the accumulation and integration of research by increasing accessibility. each of these factors helps to foster systematic, rigorous scientific practices, which, in turn, can lead to greater insights and understanding of organizational phenomenon through deductive, inductive, and abductive approaches to theory generation and refinement, ensuring that our field remains relevant for the foreseeable future. in this commentary, we highlight several initiatives that already exist to promote open science and explore others only alluded to by grand et al.",questionable research practices,10.1017/iop.2017.85
629,canada: will privacy rules continue to favour open science?,,"canada's regulatory frameworks governing privacy and research are generally permissive of genomic data sharing, though they may soon be tightened in response to public concerns over commercial data handling practices and the strengthening of influential european privacy laws. regulation can seem complex and uncertain, in part because of the constitutional division of power between federal and provincial governments over both privacy and health care. broad consent is commonly practiced in genomic research, but without explicit regulatory recognition, it is often scrutinized by research or privacy oversight bodies. secondary use of health-care data is legally permissible under limited circumstances. a new federal law prohibits genetic discrimination, but is subject to a constitutional challenge. privacy laws require security safeguards proportionate to the data sensitivity, including breach notification. special categories of data are not defined a priori. with some exceptions, canadian researchers are permitted to share personal information internationally but are held accountable for safeguarding the privacy and security of these data. cloud computing to store and share large scale data sets is permitted, if shared responsibilities for access, responsible use, and security are carefully articulated. for the moment, canada's commercial sector is recognized as adequate by europe, facilitating import of european data. maintaining adequacy status under the new european general data protection regulation (gdpr) is a concern because of canada's weaker individual rights, privacy protections, and regulatory enforcement. researchers must stay attuned to shifting international and national regulations to ensure a sustainable future for responsible genomic data sharing.",health,10.1007/s00439-018-1905-0
2126,datawiz: integration of open science practices into the research cycle,,,availability,10.1515/iwp-2017-0023
2013,the open research seminar,,,,10.2307/373212
1982,editorial: radical changes of open science,,,,10.15517/pensarmov.v17i1.37168
794,"open science, open access and open educational resources: challenges and opportunities",,"this paper discusses the concept of openness in general and its implementation in access to research and teaching material used in academic institutions. though idea of openness i.e. open science and open access to information sources is not new, it is still not universally accepted and it is not understood equally in all parts of the world. the greatest benefits of open access can be observed in academic activities i.e. in research and teaching at academic institutions. however, open access is not understood and presented equally everywhere. there are differences in openness and rights of users in access and use of scientific and educational materials in open access digital repositories. while the number of open access digital repositories increases there are many questions waiting to be answered from quality of content, roles in management of open access information resources, responsibility for maintenance of digital information resources, financing of digital information resources, quality of scientific and educational digital resources etc.",,
2287,publishing for science or science for publications? the role of open science to reduce research waste comment,,,,10.1111/jth.15403
1995,to embrace open science more closely,,,,10.1016/j.xinn.2020.04.012
2143,open science in behavioral medicine: multiple perspectives and provocative questions,,,,
